cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
23245	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavan-3-ols	Catechins
84324	Phenylpropanoids and polyketides	Flavonoids	Flavans	Flavan-3-ols	Catechin gallates
23608	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	4'-hydroxyflavonoids	4'-hydroxyflavonoids
31522	unclassified	unclassified	unclassified	unclassified	unclassified
13748	Lipids and lipid-like molecules	Prenol lipids	Terpene glycosides	Iridoid O-glycosides	Iridoid O-glycosides
49569	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
14723	Phenylpropanoids and polyketides	Flavonoids	Hydroxyflavonoids	3'-hydroxyflavonoids	3'-hydroxyflavonoids
39174	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Hydroxybenzoic acid derivatives	Gallic acids
26226	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Disaccharides	Disaccharides
166943	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Cyclic peptides
105311	Organoheterocyclic compounds	Benzopyrans	1-benzopyrans	unclassified	1-benzopyrans
68450	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acids and derivatives
56595	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Quinic acids and derivatives
77870	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
71595	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclic alcohols and derivatives	Quinic acids and derivatives
34027	Lipids and lipid-like molecules	Fatty Acyls	Fatty acyl glycosides	unclassified	Fatty acyl glycosides
61031	Lipids and lipid-like molecules	Prenol lipids	Triterpenoids	Limonoids	Limonoids
63334	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
43722	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Halogenated fatty acids	Halogenated fatty acids
16994	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Coumaric acids and derivatives	Coumaric acids and derivatives
31239	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
76794	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
34192	Benzenoids	Benzene and substituted derivatives	Phenoxy compounds	unclassified	Phenoxy compounds
12743	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Long-chain fatty acids	Long-chain fatty acids
156792	Benzenoids	Phenols	unclassified	unclassified	Phenols
14238	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Hexoses
