cluster.index	canopus_superclass	canopus_class	canopus_subclass	canopus_level5	canopus_most_specific_class
103857	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
50309	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
2559	Organoheterocyclic compounds	Heteroaromatic compounds	unclassified	unclassified	Heteroaromatic compounds
43589	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids
24998	unclassified	unclassified	unclassified	unclassified	unclassified
77668	Organoheterocyclic compounds	Pyridines and derivatives	unclassified	unclassified	Pyridines and derivatives
8448	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Dipeptides
19306	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
152492	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Peptides	Peptides
13892	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Alpha amino acid amides
53517	Organic salts	Organic metal salts	Organic metalloid salts	unclassified	Organic metalloid salts
11586	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
118077	Organic oxygen compounds	Organooxygen compounds	Ethers	Diarylethers	Diarylethers
275837	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Amino acids and derivatives	Amino acids and derivatives
28620	Organic acids and derivatives	Organic phosphoric acids and derivatives	Phosphate esters	Alkyl phosphates	Monoalkyl phosphates
23302	Organoheterocyclic compounds	Azoles	unclassified	unclassified	Azoles
7379	Organohalogen compounds	Aryl halides	Aryl chlorides	unclassified	Aryl chlorides
131915	Lipids and lipid-like molecules	Fatty Acyls	Fatty acid esters	unclassified	Fatty acid esters
189760	Organic nitrogen compounds	Organonitrogen compounds	Amines	Aralkylamines	Aralkylamines
133180	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
58626	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
249652	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Monosaccharides
75654	Lipids and lipid-like molecules	Fatty Acyls	Fatty amides	N-acyl amines	N-acyl amines
641	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	Benzamides	Benzamides
10458	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Glycosyl compounds	Glycosyl compounds
172673	Organic nitrogen compounds	Organonitrogen compounds	Amines	Secondary amines	Secondary amines
174538	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
6883	Benzenoids	Benzene and substituted derivatives	unclassified	unclassified	Benzene and substituted derivatives
44613	Organoheterocyclic compounds	Diazinanes	Piperazines	N-alkylpiperazines	N-alkylpiperazines
134078	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Secondary alcohols
