"subclass"	"n_samp_obs"	"cladeA_MA"	"cladeF_MA"	"cladeG_MA"	"cladeH_MA"	"cladeI_MA"	"cladeJ_MA"	"FC_cladeF_V_cladeA"	"FC_cladeG_V_cladeA"	"FC_cladeH_V_cladeA"	"FC_cladeI_V_cladeA"	"FC_cladeJ_V_cladeA"	"FC_cladeG_V_cladeF"	"FC_cladeH_V_cladeF"	"FC_cladeI_V_cladeF"	"FC_cladeJ_V_cladeF"	"FC_cladeH_V_cladeG"	"FC_cladeI_V_cladeG"	"FC_cladeJ_V_cladeG"	"FC_cladeI_V_cladeH"	"FC_cladeJ_V_cladeH"	"FC_cladeJ_V_cladeI"	"tuk_cladeF_cladeA_diff"	"tuk_cladeF_cladeA_p"	"tuk_cladeG_cladeA_diff"	"tuk_cladeG_cladeA_p"	"tuk_cladeH_cladeA_diff"	"tuk_cladeH_cladeA_p"	"tuk_cladeI_cladeA_diff"	"tuk_cladeI_cladeA_p"	"tuk_cladeJ_cladeA_diff"	"tuk_cladeJ_cladeA_p"	"tuk_cladeG_cladeF_diff"	"tuk_cladeG_cladeF_p"	"tuk_cladeH_cladeF_diff"	"tuk_cladeH_cladeF_p"	"tuk_cladeI_cladeF_diff"	"tuk_cladeI_cladeF_p"	"tuk_cladeJ_cladeF_diff"	"tuk_cladeJ_cladeF_p"	"tuk_cladeH_cladeG_diff"	"tuk_cladeH_cladeG_p"	"tuk_cladeI_cladeG_diff"	"tuk_cladeI_cladeG_p"	"tuk_cladeJ_cladeG_diff"	"tuk_cladeJ_cladeG_p"	"tuk_cladeI_cladeH_diff"	"tuk_cladeI_cladeH_p"	"tuk_cladeJ_cladeH_diff"	"tuk_cladeJ_cladeH_p"	"tuk_cladeJ_cladeI_diff"	"tuk_cladeJ_cladeI_p"	"f_stat"	"sum_of_sq"	"p_val"	"adj_p_val"	"sample_type_DA"
"Isoflavonoids"	1	1.05417177541764e-06	0	0	4.18510281237309e-08	0	1.42175674549495e-05	-Inf	-Inf	-4.6547030956492	-Inf	3.7534927733061	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	8.40819586895531	Inf	-0.000335752563562739	0.742561512899884	-0.000335752563562738	0.797091553306614	-0.00033575256356274	0.116788777875195	-0.00033575256356274	0.524565115127244	-0.000335752563562738	0.0910030677318516	4.60785923306339e-19	1	-8.92689411689909e-19	1	-9.78246051083512e-19	1	9.89334482393023e-19	1	-1.35347533499625e-18	1	-1.43903197438985e-18	1	5.28548559086683e-19	1	-8.55566393936028e-20	1	1.88202389408293e-18	1	1.96758053347653e-18	1	1.5589628521566	2.19439443290587e-06	0.173770076211406	0.343590832508917	"NA"
"Purine nucleotides"	1	0.000611689027394665	9.52652422712685e-05	0.000211581929957328	0.000433348314827048	0.000103142239491261	0.000349031929135406	-2.68277655208661	-1.53158197683608	-0.497271302554707	-2.56816312122215	-0.809439377991733	1.15119457525053	2.18550524953191	0.114613430864464	1.87333717409488	1.03431067428137	-1.03658114438607	0.722142598844347	-2.07089181866744	-0.312168075437026	1.75872374323042	-3.18792400148437e-19	1	1.21664732423799e-19	1	-5.30184557148736e-22	1	-2.94767465644497e-19	1	8.10329302528912e-05	0.985416886911232	4.40457132572236e-19	1	3.18262215591288e-19	1	2.40249345039402e-20	1	8.10329302528916e-05	0.998999416158056	-1.22194916980948e-19	1	-4.16432198068296e-19	1	8.10329302528911e-05	0.999339838628627	-2.94237281087348e-19	1	8.10329302528912e-05	0.93264701849968	8.10329302528915e-05	0.996239000421691	0.239297813366184	3.10439854146025e-07	0.944659297924766	0.966886575522995	"NA"
"Aryl halides"	1	0.000200518815321529	0.000103966540687263	0.000108308812236873	0.000283101212684293	0.000139564690715977	0.000336044088945175	-0.947618311885277	-0.888586987240727	0.497580313424284	-0.522803623830642	0.744912911122631	0.0590313246445501	1.44519862530956	0.424814688054634	1.69253122300791	1.38616730066501	0.365783363410085	1.63349989836336	-1.02038393725493	0.247332597698347	1.26771653495327	-6.89022801093771e-19	1	-5.06063684486842e-19	1	0.000146537563522386	0.945079607508738	-2.7813481868023e-19	1	-3.77314676504188e-19	1	1.82959116606929e-19	1	0.000146537563522387	0.995102239619766	4.10887982413541e-19	1	3.11708124589583e-19	1	0.000146537563522387	0.996698566966388	2.27928865806612e-19	1	1.28749007982654e-19	1	-0.000146537563522386	0.983287198103285	-0.000146537563522387	0.760550485318461	-9.91798578239581e-20	1	0.419720767888305	8.9153367621992e-07	0.83462646436666	0.945848800087732	"NA"
"Steroids and steroid derivatives"	2	0.000249396948128048	0.000181048840957599	0.000133604145743945	0.000199201981155009	6.37132168047784e-05	0.000188925436063418	-0.462064870040501	-0.900479035595203	-0.324211815266924	-1.96877922664994	-0.400626858290872	-0.438414165554703	0.137853054773577	-1.50671435660944	0.0614380117496293	0.57626722032828	-1.06830019105474	0.499852177304332	-1.64456741138302	-0.0764150430239478	1.56815236835907	-7.31836466427715e-19	1	-4.06575814682064e-20	1	0.000253475721472737	0.797277054902973	7.39228753967391e-21	1	6.7762635780344e-20	1	6.91178884959509e-19	1	0.000253475721472737	0.976341421926824	7.39228753967389e-19	1	7.9959910220806e-19	1	0.000253475721472737	0.983685897678504	4.80498690078803e-20	1	1.0842021724855e-19	1	-0.000253475721472737	0.927037269116504	-0.000253475721472737	0.40724197884295	6.03703482406701e-20	1	0.837371583195808	2.66754992205585e-06	0.524704481803895	0.685070515063008	"NA"
"Benzene and substituted derivatives"	2	0.00103625790073321	0.000775132548007451	0.0012370514768911	0.00112834303283003	0.000895697113787745	0.00128639802898197	-0.418868163208755	0.255522434519947	0.122822633579653	-0.210300238796553	0.311953999843235	0.674390597728701	0.541690796788408	0.208567924412201	0.730822163051989	-0.132699800940294	-0.4658226733165	0.056431565323288	-0.333122872376206	0.189131366263582	0.522254238639788	-1.86655260376766e-19	1	-7.82350431282154e-20	1	0.000120629444938405	0.992600461779343	2.05135979225951e-19	1	0.000103832277792841	0.995570094801957	1.0842021724855e-19	1	0.000120629444938405	0.999445140560889	3.91791239602716e-19	1	0.000103832277792841	0.999715704840727	0.000120629444938405	0.999631215011624	2.83371022354166e-19	1	0.000103832277792841	0.999813375656714	-0.000120629444938405	0.997982142293909	-1.67971671455642e-05	0.999996651601822	0.000103832277792841	0.998905927649076	0.119297430047093	4.25822509925737e-07	0.987987679496962	0.9880641809284	"NA"
"Oxocins"	7	0	0	0	7.14335224029054e-07	6.28250696988653e-06	1.50743878973484e-07	NA	NA	Inf	Inf	Inf	NA	Inf	Inf	Inf	Inf	Inf	Inf	3.13666719883957	-2.24450184069724	-5.38116903953681	-4.72120764200506e-18	1	1.51295484978659e-18	1	0.000186004786026192	0.919426761706796	0.00130110899289809	7.95379557013698e-05	4.1866972384469e-05	0.999905150611227	6.23416249179165e-18	1	0.000186004786026197	0.992381833728757	0.0013011089928981	0.010314734032845	4.18669723844737e-05	0.999994382344058	0.000186004786026191	0.994839888361214	0.00130110899289809	0.0194813962790306	4.18669723844675e-05	0.999996334401875	0.0011151042068719	0.000156244478895062	-0.000144137813641723	0.862155978475145	-0.00125924202051362	6.86700284480146e-06	5.7923482464328	1.64007826059801e-05	5.40173559087327e-05	0.000671358566294249	"cladeI"
"Phenanthrenes and derivatives"	2	5.77198539650482e-06	0	2.7938919743963e-06	7.56594619781679e-07	4.83648681065338e-06	0	-Inf	-1.04679140958177	-2.93147522733136	-0.255108185125143	-Inf	Inf	Inf	Inf	NA	-1.88468381774959	0.791683224456625	-Inf	2.67636704220622	-Inf	-Inf	-0.00050832603196579	0.829979745576137	-0.00050832603196579	0.869262865295929	-0.000412336975732504	0.453838459748274	-0.00050832603196579	0.656254866130898	-0.000508326031965789	0.184032782808047	1.0842021724855e-19	1	9.59890562332864e-05	0.999874104203156	1.76182853028894e-19	1	1.02999206386123e-18	1	9.59890562332863e-05	0.999916690097166	6.7762635780344e-20	1	9.21571846612679e-19	1	-9.59890562332863e-05	0.999532912126209	-9.59890562332854e-05	0.988627080605631	8.53809210832335e-19	1	1.142323041631	4.72679455420922e-06	0.339604291274578	0.518343391945409	"NA"
"Benzodioxoles"	2	0	0	0	2.09783758103243e-06	0	2.42967558157333e-07	NA	NA	Inf	NA	Inf	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	-3.11006738744917	Inf	-7.60173568663132e-19	1	-2.1807248242038e-19	1	0.000185451468290832	0.960036743615702	-2.52569824272191e-19	1	5.31528347558641e-05	0.999865414581993	5.42101086242752e-19	1	0.000185451468290833	0.996576255947725	5.07603744390941e-19	1	5.31528347558649e-05	0.999992003455897	0.000185451468290833	0.997699748471942	-3.44973418518115e-20	1	5.31528347558643e-05	0.999994780907047	-0.000185451468290833	0.988142419640577	-0.000132298633534968	0.948989273114965	5.31528347558643e-05	0.99996838514045	0.257561412612028	1.01999895698614e-06	0.935577335973651	0.966886575522995	"NA"
"Organochlorides"	10	4.88637764706401e-07	0	0	6.61221846962952e-07	0	1.560722006215e-06	-Inf	-Inf	0.436369024888685	-Inf	1.67537631651698	NA	Inf	NA	Inf	Inf	NA	Inf	-Inf	1.2390072916283	Inf	-0.000149033174414511	0.999455391275814	-0.000149033174414511	0.999618665789231	3.03558424631263e-05	0.999995610679003	-0.000149033174414511	0.998412353732593	0.000147338043134041	0.988363762870399	-1.35525271560688e-19	1	0.000179389016877637	0.998093438158562	5.42101086242752e-20	1	0.000296371217548552	0.979179139981758	0.000179389016877638	0.998724701676102	1.89735380184963e-19	1	0.000296371217548552	0.985811020749605	-0.000179389016877637	0.993264222464552	0.000116982200670914	0.979577313746632	0.000296371217548552	0.932519377690834	0.369327656615637	1.7498505786137e-06	0.869178364930862	0.945848800087732	"NA"
"Lactones"	8	0	3.90933094037905e-06	0	0	0	2.43128061415975e-06	Inf	NA	NA	NA	Inf	-Inf	-Inf	-Inf	-0.685205303340524	NA	NA	Inf	NA	Inf	Inf	0.000807192821501187	0.576065516047554	-9.85638338623186e-20	1	3.32450964215935e-19	1	-2.09694556542083e-18	1	0.000434522808398151	0.535297350632664	-0.000807192821501187	0.814484294783904	-0.000807192821501187	0.493724431168932	-0.000807192821501189	0.67470429220055	-0.000372670013103036	0.962842394153094	4.31014798078254e-19	1	-1.99838173155851e-18	1	0.000434522808398151	0.950530976060021	-2.42939652963676e-18	1	0.000434522808398151	0.153877442320208	0.000434522808398153	0.802851744991152	1.88445825088596	1.08179022520638e-05	0.0989800655923265	0.220801684782882	"NA"
