id	Acmanthera_latifolia	Amorimia_concinna	Amorimia_coriacea	Acmanthera_latifolia.1	Acmanthera_latifolia.2	Acridocarpus_smeathmannii	Niedenzuella_lasiandra	Alicia_anisopetala	Alicia_anisopetala.1	Alicia_anisopetala.2	Amorimia_andersonii	Amorimia_pubiflora	Banisteriopsis_anisandra	Banisteriopsis_campestris	Amorimia_septentrionalis	Amorimia_septentrionalis.1	Aspicarpa_harleyi	Banisteriopsis_adenopoda	Banisteriopsis_adenopoda.1	Banisteriopsis_argyrophylla	Banisteriopsis_argyrophylla.1	Banisteriopsis_anisandra.1	Banisteriopsis_harleyi	Banisteriopsis_megaphylla	Banisteriopsis_membranifolia	Banisteriopsis_laevifolia	Banisteriopsis_laevifolia.1	Banisteriopsis_laevifolia.2	Banisteriopsis_laevifolia.3	Banisteriopsis_malifolia	Banisteriopsis_malifolia.1	Banisteriopsis_malifolia.2	Banisteriopsis_malifolia.3	Banisteriopsis_muricata	Banisteriopsis_variabilis	Banisteriopsis_vernoniifolia	Banisteriopsis_muricata.1	Banisteriopsis_parvglandula	Banisteriopsis_quadriglandula	Banisteriopsis_stellaris	Banisteriopsis_stellaris.1	Banisteriopsis_stellaris.2	Banisteriopsis_stellaris.3	Banisteriopsis_variabilis.1	Barnebya_harleyi	Byrsonima_coccolobifolia	Byrsonima_coccolobifolia.1	Blepharandra_heteropetala	Blepharandra_hypoleuca	Bronwenia_megaptera	Bunchosia_glandulifera	Bunchosia_montana	Bunchosia_pallescens	Bunchosia_pallescens.1	Burdachia_duckei	Byrsonima_coccolobifolia.2	Byrsonima_verbascifolia	Byrsonima_verbascifolia.1	Byrsonima_crassifolia	Byrsonima_incarnata	Byrsonima_intermedia	Byrsonima_intermedia.1	Byrsonima_ligustrifolia	Byrsonima_sericea	Byrsonima_sericea.1	Byrsonima_spicata	Callaeum_antifebrile	Diplopterys_pubipetala	Diplopterys_pubipetala.1	Callaeum_psilophyllum	Camarea_affinis	Camarea_ericoides	Carolus_chasei	Christianella_multiglandulosa	Diacidia_aracaensis	Dicella_bracteosa	Dicella_macroptera	Diplopterys_pubipetala.2	Heteropterys_brunnea	Heteropterys_byrsonimifolia	Ectopopterys_soejartoi	Galphimia_brasiliensis	Gaudichaudia_albida	Gaudichaudia_albida.1	Heladena_multiflora	Heteropterys_aenea	Heteropterys_bicolor	Heteropterys_brachiata	Heteropterys_campestris	Heteropterys_intermedia	Heteropterys_leona	Heteropterys_chrysophylla	Heteropterys_coleoptera	Heteropterys_coleoptera.1	Heteropterys_eglandulosa	Heteropterys_eglandulosa.1	Heteropterys_hatschbachii	Heteropterys_intermedia.1	Heteropterys_intermedia.2	Heteropterys_leona.1	Hiptage_benghalensis	Hiraea_cuiabensis	Heteropterys_leona.2	Heteropterys_leschenaultiana	Heteropterys_leschenaultiana.1	Heteropterys_oberdanii	Heteropterys_pauciflora	Heteropterys_tomentosa	Heteropterys_umbellata	Heteropterys_umbellata.1	Hiraea_hatschbachii	Malpighia_mexicana	Malpighia_mexicana.1	Hiraea_reclinata	Hiraea_restingae	Hiraea_restingae.1	Janusia_janusioides	Janusia_mediterranea	Janusia_mediterranea.1	Janusia_occhionii	Janusia_schwannioides	Mascagnia_conformis	Niedenzuella_multiglandulosa	Niedenzuella_multiglandulosa.1	Mascagnia_sepium	Mcvaughia_bahiana	Niedenzuella_acutifolia	Niedenzuella_acutifolia.1	Niedenzuella_acutifolia.2	Niedenzuella_lucida	Niedenzuella_multiglandulosa.2	Niedenzuella_multiglandulosa.3	Niedenzuella_poeppigiana	Peixotoa_reticulata	Peixotoa_spinensis	Niedenzuella_poeppigiana.1	Niedenzuella_poeppigiana.2	Niedenzuella_poeppigiana.3	Niedenzuella_sericea	Niedenzuella_stannea	Peixotoa_cordistipula	Peixotoa_glabra	Peixotoa_hispidula	Peixotoa_tomentosa	Stigmaphyllon_blanchetii	Stigmaphyllon_bonariense	Peixotoa_tomentosa.1	Ptilochaeta_bahiensis	Ptilochaeta_densiflora	Sphedamnocarpus_angolensis	Stigmaphyllon_acuminatum	Stigmaphyllon_alternifolium	Stigmaphyllon_angustilobum	Stigmaphyllon_auriculatum	Stigmaphyllon_caatingicola	Stigmaphyllon_hatschbachii	Stigmaphyllon_hispidum	Stigmaphyllon_cavernulosum	Stigmaphyllon_cavernulosum.1	Stigmaphyllon_ciliatum	Stigmaphyllon_ciliatum.1	Stigmaphyllon_convolvulifolium	Stigmaphyllon_gayanum	Stigmaphyllon_harleyi	Stigmaphyllon_hatschbachii.1	Stigmaphyllon_lalandianum	Stigmaphyllon_salzmannii	Stigmaphyllon_saxicola	Stigmaphyllon_lalandianum.1	Stigmaphyllon_macropodum	Stigmaphyllon_occidentale	Stigmaphyllon_palmatum	Stigmaphyllon_paralias	Stigmaphyllon_paralias.1	Stigmaphyllon_puberulum	Stigmaphyllon_puberulum.1	Stigmaphyllon_saxicola.1	Stigmaphyllon_saxicola.2	Stigmaphyllon_sinuatum	Stigmaphyllon_tomentosum	Stigmaphyllon_urenifolium	Stigmaphyllon_urenifolium.1	Stigmaphyllon_vitifolium	Glicophyllum_ambiguum	Glicophyllum_cardiophyllum	Glicophyllum_cardiophyllum.1	Glicophyllum_microphyllum	Glicophyllum_microphyllum.1	Tetrapterys_mucronata	Tetrapterys_phlomoides	Tetrapterys_phlomoides.1	Glicophyllum_ramiflorum	Tetrapterys_schiedeana	Tetrapterys_xylosteifolia	Thryallis_latifolia	Verrucularina_glaucophylla	Verrucularina_piresii
Flavonoids	4	6	8	3	11	18	29	28	6	6	12	18	18	21	25	26	22	18	17	33	18	19	29	25	22	22	26	25	43	10	22	21	23	25	24	39	28	31	27	40	41	25	45	21	13	45	38	34	15	74	21	11	12	12	34	72	52	31	23	20	33	31	41	35	40	46	23	22	17	8	14	15	9	8	18	11	14	82	12	14	9	23	16	16	17	10	5	16	26	56	84	13	10	27	15	68	70	54	56	18	21	31	22	12	13	15	20	17	21	13	30	23	21	33	30	28	18	29	31	23	11	14	59	66	9	30	19	20	39	25	13	67	69	69	74	73	65	63	53	78	70	55	57	78	65	46	56	49	47	83	61	80	65	52	28	36	64	24	38	94	70	68	67	57	64	82	59	20	75	55	41	71	48	69	88	85	63	70	66	24	63	45	87	58	49	52	73	54	36	31	28	67	26	34	69	59	47
unclassified	4	15	11	6	16	17	15	47	13	20	13	17	14	14	18	11	21	23	15	15	17	11	19	16	19	22	13	15	26	6	10	11	10	19	23	30	23	20	12	17	22	11	28	18	16	20	28	22	16	48	25	30	24	23	31	33	23	25	15	23	25	29	23	28	25	32	50	10	6	7	7	6	13	10	9	10	10	40	19	12	7	7	20	9	12	14	22	12	14	55	49	16	16	21	21	58	50	57	54	14	7	21	14	13	13	12	16	17	16	20	12	24	24	20	22	17	27	21	35	20	24	25	46	50	18	17	22	17	20	32	26	43	45	45	44	39	49	45	49	55	41	45	37	56	49	48	57	44	55	53	55	47	44	56	57	56	45	51	49	54	44	41	46	39	43	40	47	49	42	53	52	52	53	43	42	49	49	49	46	57	48	52	43	41	44	37	40	43	41	47	37	35	36	42	52	24	29
Prenol lipids	7	13	13	7	17	16	9	36	16	16	13	10	12	18	11	7	17	20	18	23	19	17	14	24	12	13	12	10	17	10	12	12	11	9	10	28	25	10	14	15	19	9	24	9	23	26	33	20	23	53	18	23	29	26	39	39	25	27	23	38	26	31	32	40	38	22	46	8	3	10	6	11	25	13	10	7	8	24	12	9	10	12	12	7	7	9	9	13	17	45	43	18	11	10	9	37	31	39	41	12	9	16	10	17	13	15	13	12	7	15	9	14	14	14	15	14	31	14	25	14	17	12	33	33	11	18	21	15	17	29	20	40	40	32	38	37	31	41	42	51	45	36	25	56	42	43	50	38	39	48	58	59	52	45	31	44	40	66	57	33	33	46	33	42	39	64	36	54	41	37	44	61	55	63	38	35	65	47	43	53	50	33	32	38	46	44	52	32	44	46	29	31	42	32	35	27	53
Organooxygen compounds	6	37	33	17	28	45	34	103	56	46	42	46	36	44	57	42	50	50	49	43	50	31	44	42	32	40	36	34	58	28	29	27	34	45	53	59	58	36	41	54	51	38	62	30	43	45	35	53	20	117	59	62	60	42	52	97	40	37	43	36	45	36	45	47	40	42	91	34	30	30	32	38	43	17	29	24	38	92	41	36	23	22	34	23	29	19	26	29	39	130	123	49	41	63	36	133	107	130	130	50	31	49	35	43	44	31	31	39	21	42	50	43	54	46	56	64	59	47	64	42	51	33	82	82	38	49	64	25	52	55	58	82	93	108	106	73	77	78	104	92	119	79	92	108	106	104	100	40	67	97	107	97	115	115	86	93	108	102	114	82	74	90	86	91	81	113	105	86	89	83	63	102	103	107	107	100	111	83	99	100	110	82	100	79	83	81	77	76	85	89	76	62	94	61	114	61	101
Benzene and substituted derivatives	10	35	25	16	13	36	41	56	44	37	18	42	27	21	34	37	26	26	34	39	30	24	44	35	29	29	39	30	28	18	22	21	19	33	20	42	33	26	41	27	29	23	45	28	31	41	39	30	30	69	30	38	27	25	35	70	37	29	29	35	41	48	43	46	38	31	70	21	18	24	15	22	27	20	29	24	22	73	26	18	27	18	13	23	24	27	25	27	25	57	64	28	32	34	23	63	73	61	62	28	27	32	30	30	32	20	26	28	25	32	34	21	27	31	43	39	31	32	42	34	27	24	59	62	22	38	37	26	47	43	34	43	60	61	45	51	47	53	53	61	58	63	62	62	73	59	62	52	54	78	57	62	49	56	52	58	51	57	64	63	57	59	54	53	68	58	66	59	53	60	58	55	61	63	65	64	57	58	55	52	55	50	53	60	57	39	52	46	64	65	66	50	53	61	53	49	51
Carboxylic acids and derivatives	16	35	47	22	40	44	43	103	47	38	45	49	39	39	42	42	43	54	43	43	47	39	47	45	53	41	45	48	45	25	44	30	34	41	48	48	63	42	43	50	61	33	68	39	56	69	71	49	52	107	60	70	50	53	71	74	53	29	55	66	76	71	67	65	80	54	110	41	30	42	33	41	49	34	39	27	31	68	56	33	37	31	49	39	44	54	40	46	37	120	115	30	36	47	48	101	96	137	102	23	39	46	38	55	48	41	43	53	38	42	35	38	40	42	45	45	58	46	73	45	56	51	112	125	50	41	42	33	70	81	55	104	106	94	99	99	75	84	111	103	115	80	107	109	117	125	93	103	116	117	108	96	105	130	132	103	103	126	111	112	95	88	87	81	119	109	114	111	98	112	81	112	112	113	118	96	111	106	118	133	97	93	79	116	101	83	105	81	86	91	64	96	96	93	112	60	99
Benzopyrans	0	0	1	0	1	1	1	3	0	0	1	2	2	0	1	1	0	0	2	1	1	2	2	0	0	1	0	0	2	0	1	2	0	0	0	0	0	0	0	2	1	0	1	1	0	1	0	0	0	4	0	0	0	0	0	7	3	4	0	0	3	1	0	3	3	1	3	1	1	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	1	0	1	0	4	6	0	0	0	0	4	4	3	5	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	5	4	0	1	0	1	3	1	0	2	4	7	6	4	5	4	3	5	7	8	7	6	5	4	6	3	4	7	4	4	3	4	3	3	6	4	5	3	4	5	6	6	4	4	2	6	3	4	3	6	5	2	4	4	6	5	8	2	6	4	6	4	4	4	5	3	2	4	2	5	3	3	3	2	4
Fatty Acyls	13	51	40	17	35	37	38	111	53	47	53	49	34	22	47	47	46	52	48	50	42	31	44	27	50	39	43	51	70	28	34	24	27	54	50	66	58	44	65	47	52	22	79	35	71	53	55	49	49	120	65	66	49	48	57	71	63	38	39	60	77	47	55	68	63	67	110	27	16	33	21	37	43	37	32	33	17	57	64	34	30	29	38	30	28	36	45	26	40	170	132	54	53	56	61	110	99	137	150	20	53	50	26	37	29	44	70	43	45	40	37	56	60	39	43	49	53	52	77	55	51	49	125	149	78	47	54	35	71	84	68	116	124	123	127	81	60	93	130	110	137	101	117	139	147	137	100	145	150	137	142	134	142	157	151	146	118	165	131	127	100	107	115	95	140	131	154	164	125	154	138	151	137	139	139	118	147	158	153	156	127	133	87	139	109	88	109	90	115	110	80	105	126	132	116	71	112
Cinnamic acids and derivatives	1	6	7	4	8	6	12	28	8	8	4	4	6	5	10	12	13	13	11	9	9	3	12	5	12	8	6	8	13	11	6	5	8	10	12	14	16	10	12	11	12	13	16	10	7	4	6	7	4	18	6	9	6	7	8	9	8	2	7	5	4	4	5	7	9	6	17	2	5	6	5	4	10	3	5	3	2	24	5	5	8	4	9	1	5	6	10	6	11	29	25	9	5	8	8	33	27	30	29	2	5	6	2	5	5	9	7	8	10	12	13	8	8	7	13	9	12	10	6	12	8	6	29	34	11	13	9	7	8	9	5	26	28	19	16	21	13	17	21	23	10	14	24	23	24	30	9	29	34	28	22	33	28	33	15	28	16	27	26	30	21	27	26	12	21	19	30	24	13	37	22	27	21	26	19	38	34	26	34	22	27	27	15	34	35	22	25	17	24	21	11	18	22	27	25	13	17
Phenols	0	6	4	3	2	5	8	15	4	7	8	2	3	3	5	6	3	4	6	4	7	3	5	9	7	8	6	5	5	2	3	4	3	3	5	7	7	5	6	4	7	4	9	4	7	3	4	3	4	14	8	8	5	5	4	7	4	4	4	8	5	5	5	5	4	2	8	3	3	5	1	2	1	7	2	1	4	10	5	5	5	3	4	4	2	3	5	5	4	14	12	4	3	1	5	12	10	12	11	3	2	2	4	2	2	7	4	2	3	4	7	4	6	5	6	6	7	8	10	1	5	5	10	16	3	6	5	7	6	5	5	12	20	9	12	5	6	8	7	8	11	12	10	11	20	12	12	13	17	11	10	13	13	16	12	15	12	10	9	13	12	9	9	13	15	9	14	11	9	22	13	14	8	11	10	14	14	14	8	16	13	13	8	17	13	10	6	8	6	10	4	16	7	8	9	7	9
